"valor","vigenciadesde","vigenciahasta"
"996.96","1995-11-02T00:00:00.000","1995-11-02T00:00:00.000"
"998.18","1995-11-03T00:00:00.000","1995-11-03T00:00:00.000"
"998.49","1995-11-04T00:00:00.000","1995-11-06T00:00:00.000"
"998.49","1995-11-07T00:00:00.000","1995-11-07T00:00:00.000"
"999.51","1995-11-08T00:00:00.000","1995-11-08T00:00:00.000"
"999.73","1995-11-09T00:00:00.000","1995-11-09T00:00:00.000"
"1000.13","1995-11-10T00:00:00.000","1995-11-10T00:00:00.000"
"999.77","1995-11-11T00:00:00.000","1995-11-13T00:00:00.000"
"999.77","1995-11-14T00:00:00.000","1995-11-14T00:00:00.000"
"1001.14","1995-11-15T00:00:00.000","1995-11-15T00:00:00.000"
"1001.62","1995-11-16T00:00:00.000","1995-11-16T00:00:00.000"
"1002.25","1995-11-17T00:00:00.000","1995-11-17T00:00:00.000"
"1002.63","1995-11-18T00:00:00.000","1995-11-20T00:00:00.000"
"1003.44","1995-11-21T00:00:00.000","1995-11-21T00:00:00.000"
"1003.47","1995-11-22T00:00:00.000","1995-11-22T00:00:00.000"
"1002.49","1995-11-23T00:00:00.000","1995-11-23T00:00:00.000"
"1001.23","1995-11-24T00:00:00.000","1995-11-24T00:00:00.000"
"1000.69","1995-11-25T00:00:00.000","1995-11-27T00:00:00.000"
"1003.24","1995-11-28T00:00:00.000","1995-11-28T00:00:00.000"
"1001.73","1995-11-29T00:00:00.000","1995-11-29T00:00:00.000"
"998.16","1995-11-30T00:00:00.000","1995-11-30T00:00:00.000"
"998.15","1995-12-01T00:00:00.000","1995-12-01T00:00:00.000"
"997.87","1995-12-02T00:00:00.000","1995-12-04T00:00:00.000"
